Datetime,Open,High,Low,Close,Adj Close,Volume
2021-05-26 08:46:00+01:00,40552.93,40552.93,40552.93,40552.93,40552.93,20627456
2021-05-26 08:47:00+01:00,40571.13,40571.13,40571.13,40571.13,40571.13,3624960
2021-05-26 08:48:00+01:00,40495.42,40495.42,40495.42,40495.42,40495.42,0
2021-05-26 08:49:00+01:00,40436.08,40436.08,40436.08,40436.08,40436.08,0
2021-05-26 08:50:00+01:00,40470.69,40470.69,40470.69,40470.69,40470.69,0
2021-05-26 08:51:00+01:00,40500.32,40500.32,40500.32,40500.32,40500.32,44113920
2021-05-26 08:52:00+01:00,40549.75,40549.75,40549.75,40549.75,40549.75,69029888
2021-05-26 08:53:00+01:00,40506.66,40506.66,40506.66,40506.66,40506.66,18427904
2021-05-26 08:54:00+01:00,40538.05,40538.05,40538.05,40538.05,40538.05,0
2021-05-26 08:55:00+01:00,40546.15,40546.15,40546.15,40546.15,40546.15,50929664
2021-05-26 08:56:00+01:00,40527.16,40527.16,40527.16,40527.16,40527.16,5513216
2021-05-26 08:57:00+01:00,40549.33,40549.33,40549.33,40549.33,40549.33,565248
2021-05-26 08:58:00+01:00,40537.82,40537.82,40537.82,40537.82,40537.82,43855872
2021-05-26 08:59:00+01:00,40527.03,40527.03,40527.03,40527.03,40527.03,0
2021-05-26 09:00:00+01:00,40550.61,40550.61,40550.61,40550.61,40550.61,0
2021-05-26 09:01:00+01:00,40550.34,40550.34,40550.34,40550.34,40550.34,0
2021-05-26 09:02:00+01:00,40533.79,40533.79,40533.79,40533.79,40533.79,0
2021-05-26 09:03:00+01:00,40782.08,40782.08,40782.08,40782.08,40782.08,76505088
2021-05-26 09:04:00+01:00,40757.64,40757.64,40757.64,40757.64,40757.64,271470592
2021-05-26 09:05:00+01:00,40651.56,40651.56,40651.56,40651.56,40651.56,0
2021-05-26 09:06:00+01:00,40451.52,40451.52,40451.52,40451.52,40451.52,0
2021-05-26 09:07:00+01:00,40368.32,40368.32,40368.32,40368.32,40368.32,0
2021-05-26 09:08:00+01:00,40295.59,40295.59,40295.59,40295.59,40295.59,0
2021-05-26 09:09:00+01:00,40153.04,40153.04,40153.04,40153.04,40153.04,0
2021-05-26 09:11:00+01:00,40151.68,40151.68,40151.68,40151.68,40151.68,0
2021-05-26 09:12:00+01:00,40057.22,40057.22,40057.22,40057.22,40057.22,3346432
2021-05-26 09:13:00+01:00,39964.73,39964.73,39964.73,39964.73,39964.73,0
2021-05-26 09:14:00+01:00,40000.04,40000.04,40000.04,40000.04,40000.04,0
2021-05-26 09:15:00+01:00,40036.12,40036.12,40036.12,40036.12,40036.12,46555136
2021-05-26 09:16:00+01:00,39936.43,39936.43,39936.43,39936.43,39936.43,34639872
2021-05-26 09:17:00+01:00,39951.16,39951.16,39951.16,39951.16,39951.16,0
2021-05-26 09:18:00+01:00,39929.97,39929.97,39929.97,39929.97,39929.97,8998912
2021-05-26 09:19:00+01:00,39980.19,39980.19,39980.19,39980.19,39980.19,1638400
2021-05-26 09:20:00+01:00,39999.07,39999.07,39999.07,39999.07,39999.07,38428672
2021-05-26 09:21:00+01:00,40037.86,40037.86,40037.86,40037.86,40037.86,9986048
2021-05-26 09:22:00+01:00,40065.59,40065.59,40065.59,40065.59,40065.59,86962176
2021-05-26 09:23:00+01:00,40082.28,40082.28,40082.28,40082.28,40082.28,21622784
2021-05-26 09:24:00+01:00,40067.33,40067.33,40067.33,40067.33,40067.33,15704064
2021-05-26 09:25:00+01:00,39981.97,39981.97,39981.97,39981.97,39981.97,30699520
2021-05-26 09:26:00+01:00,40033.19,40033.19,40033.19,40033.19,40033.19,0
2021-05-26 09:27:00+01:00,40043.58,40043.58,40043.58,40043.58,40043.58,27820032
2021-05-26 09:28:00+01:00,40064.16,40064.16,40064.16,40064.16,40064.16,1302528
2021-05-26 09:29:00+01:00,40206.82,40206.82,40206.82,40206.82,40206.82,81063936
2021-05-26 09:30:00+01:00,40187.57,40187.57,40187.57,40187.57,40187.57,92205056
2021-05-26 09:31:00+01:00,40212.65,40212.65,40212.65,40212.65,40212.65,79097856
2021-05-26 09:32:00+01:00,40307.58,40307.58,40307.58,40307.58,40307.58,48451584
2021-05-26 09:33:00+01:00,40292.62,40292.62,40292.62,40292.62,40292.62,57380864
2021-05-26 09:34:00+01:00,40287.93,40287.93,40287.93,40287.93,40287.93,89006080
2021-05-26 09:35:00+01:00,40349.04,40349.04,40349.04,40349.04,40349.04,8228864
2021-05-26 09:36:00+01:00,40382.01,40382.01,40382.01,40382.01,40382.01,51236864
2021-05-26 09:37:00+01:00,40370.58,40370.58,40370.58,40370.58,40370.58,64573440
2021-05-26 09:38:00+01:00,40383.63,40383.63,40383.63,40383.63,40383.63,372736
2021-05-26 09:39:00+01:00,40419.93,40419.93,40419.93,40419.93,40419.93,5906432
2021-05-26 09:40:00+01:00,40404.15,40404.15,40404.15,40404.15,40404.15,43675648
2021-05-26 09:41:00+01:00,40348.6,40348.6,40348.6,40348.6,40348.6,0
2021-05-26 09:42:00+01:00,40277.2,40277.2,40277.2,40277.2,40277.2,0
2021-05-26 09:43:00+01:00,40303.27,40303.27,40303.27,40303.27,40303.27,0
2021-05-26 09:44:00+01:00,40274.62,40274.62,40274.62,40274.62,40274.62,638976
2021-05-26 09:45:00+01:00,40290.42,40290.42,40290.42,40290.42,40290.42,0
2021-05-26 09:46:00+01:00,40222.2,40222.2,40222.2,40222.2,40222.2,0
2021-05-26 09:47:00+01:00,40221.83,40221.83,40221.83,40221.83,40221.83,0
2021-05-26 09:48:00+01:00,40155.0,40155.0,40155.0,40155.0,40155.0,0
2021-05-26 09:49:00+01:00,40118.46,40118.46,40118.46,40118.46,40118.46,0
2021-05-26 09:50:00+01:00,40123.98,40123.98,40123.98,40123.98,40123.98,0
2021-05-26 09:51:00+01:00,40180.55,40180.55,40180.55,40180.55,40180.55,27615232
2021-05-26 09:52:00+01:00,40240.39,40240.39,40240.39,40240.39,40240.39,78716928
2021-05-26 09:53:00+01:00,40199.92,40199.92,40199.92,40199.92,40199.92,18329600
2021-05-26 09:54:00+01:00,40243.88,40243.88,40243.88,40243.88,40243.88,0
2021-05-26 09:55:00+01:00,40219.82,40219.82,40219.82,40219.82,40219.82,78123008
2021-05-26 09:56:00+01:00,40177.62,40177.62,40177.62,40177.62,40177.62,0
2021-05-26 09:57:00+01:00,40082.43,40082.43,40082.43,40082.43,40082.43,0
2021-05-26 09:58:00+01:00,40173.38,40173.38,40173.38,40173.38,40173.38,0
2021-05-26 09:59:00+01:00,40218.7,40218.7,40218.7,40218.7,40218.7,61829120
2021-05-26 10:00:00+01:00,40218.53,40218.53,40218.53,40218.53,40218.53,31305728
2021-05-26 10:01:00+01:00,40293.68,40293.68,40293.68,40293.68,40293.68,0
2021-05-26 10:02:00+01:00,40333.57,40333.57,40333.57,40333.57,40333.57,41197568
2021-05-26 10:03:00+01:00,40297.78,40297.78,40297.78,40297.78,40297.78,14966784
2021-05-26 10:04:00+01:00,40301.3,40301.3,40301.3,40301.3,40301.3,0
2021-05-26 10:05:00+01:00,40300.47,40300.47,40300.47,40300.47,40300.47,0
2021-05-26 10:06:00+01:00,40334.44,40334.44,40334.44,40334.44,40334.44,8597504
2021-05-26 10:07:00+01:00,40391.98,40391.98,40391.98,40391.98,40391.98,32751616
2021-05-26 10:08:00+01:00,40377.0,40377.0,40377.0,40377.0,40377.0,36663296
2021-05-26 10:09:00+01:00,40366.57,40366.57,40366.57,40366.57,40366.57,0
2021-05-26 10:10:00+01:00,40358.89,40358.89,40358.89,40358.89,40358.89,156209152
2021-05-26 10:11:00+01:00,40378.23,40378.23,40378.23,40378.23,40378.23,0
2021-05-26 10:12:00+01:00,40399.83,40399.83,40399.83,40399.83,40399.83,13258752
2021-05-26 10:13:00+01:00,40351.38,40351.38,40351.38,40351.38,40351.38,0
2021-05-26 10:14:00+01:00,40373.88,40373.88,40373.88,40373.88,40373.88,0
2021-05-26 10:15:00+01:00,40328.38,40328.38,40328.38,40328.38,40328.38,1167360
2021-05-26 10:16:00+01:00,40254.77,40254.77,40254.77,40254.77,40254.77,0
2021-05-26 10:17:00+01:00,40345.02,40345.02,40345.02,40345.02,40345.02,0
2021-05-26 10:18:00+01:00,40392.65,40392.65,40392.65,40392.65,40392.65,63926272
2021-05-26 10:19:00+01:00,40410.65,40410.65,40410.65,40410.65,40410.65,60223488
2021-05-26 10:20:00+01:00,40482.4,40482.4,40482.4,40482.4,40482.4,34234368
2021-05-26 10:21:00+01:00,40417.05,40417.05,40417.05,40417.05,40417.05,19333120
2021-05-26 10:22:00+01:00,40362.87,40362.87,40362.87,40362.87,40362.87,0
2021-05-26 10:23:00+01:00,40323.07,40323.07,40323.07,40323.07,40323.07,0
2021-05-26 10:24:00+01:00,40374.74,40374.74,40374.74,40374.74,40374.74,0
2021-05-26 10:25:00+01:00,40335.66,40335.66,40335.66,40335.66,40335.66,22061056
2021-05-26 10:26:00+01:00,40371.91,40371.91,40371.91,40371.91,40371.91,0
2021-05-26 10:27:00+01:00,40283.87,40283.87,40283.87,40283.87,40283.87,0
2021-05-26 10:28:00+01:00,40289.09,40289.09,40289.09,40289.09,40289.09,0
2021-05-26 10:29:00+01:00,40263.36,40263.36,40263.36,40263.36,40263.36,0
2021-05-26 10:30:00+01:00,40282.37,40282.37,40282.37,40282.37,40282.37,0
2021-05-26 10:31:00+01:00,40261.65,40261.65,40261.65,40261.65,40261.65,0
2021-05-26 10:32:00+01:00,40240.29,40240.29,40240.29,40240.29,40240.29,0
2021-05-26 10:33:00+01:00,40198.02,40198.02,40198.02,40198.02,40198.02,0
2021-05-26 10:34:00+01:00,40186.4,40186.4,40186.4,40186.4,40186.4,0
2021-05-26 10:35:00+01:00,40177.61,40177.61,40177.61,40177.61,40177.61,0
2021-05-26 10:36:00+01:00,40232.55,40232.55,40232.55,40232.55,40232.55,5230592
2021-05-26 10:37:00+01:00,40305.79,40305.79,40305.79,40305.79,40305.79,0
